Date,SARIMA_Forecast
2022-12-31,164.76787903612995
2023-01-01,164.6927541428552
2023-01-02,164.5088676406008
2023-01-03,164.60209969248723
2023-01-04,164.3504414336851
2023-01-05,164.4082766728258
2023-01-06,164.53749689112468
2023-01-07,164.12278447655444
2023-01-08,164.08699260915824
2023-01-09,164.59172079900742
2023-01-10,165.75319990702437
2023-01-11,165.63804148348393
2023-01-12,165.2126061275902
2023-01-13,165.13007397186755
2023-01-14,164.94812210654817
2023-01-15,165.04075945690775
2023-01-16,164.7891987205818
2023-01-17,164.8470851761827
2023-01-18,164.97617175161923
2023-01-19,164.5614598407565
2023-01-20,164.52564919702345
2023-01-21,165.03027009292452
2023-01-22,166.1918415989249
2023-01-23,166.07669406658135
2023-01-24,165.6512577911547
2023-01-25,165.56872589069107
2023-01-26,165.38677395871196
2023-01-27,165.47941132957342
2023-01-28,165.22785058989365
2023-01-29,165.28573704371658
