Date,ARIMA_Forecast
2022-12-31,211.0705564260889
2023-01-01,211.0706019621327
2023-01-02,211.05119517260246
2023-01-03,211.05119108421422
2023-01-04,211.0539614464357
2023-01-05,211.0539629518601
2023-01-06,211.05366173913552
2023-01-07,211.05366161740653
2023-01-08,211.0537069637103
2023-01-09,211.05370700146293
2023-01-10,211.05370238480702
2023-01-11,211.05370238217606
2023-01-12,211.0537031322332
2023-01-13,211.05370313308694
2023-01-14,211.0537030636987
2023-01-15,211.0537030636509
2023-01-16,211.053703076231
2023-01-17,211.0537030762494
2023-01-18,211.05370307523904
2023-01-19,211.0537030752383
2023-01-20,211.05370307545311
2023-01-21,211.0537030754535
2023-01-22,211.05370307543959
2023-01-23,211.05370307543959
2023-01-24,211.05370307544334
2023-01-25,211.05370307544334
2023-01-26,211.05370307544317
2023-01-27,211.05370307544317
2023-01-28,211.05370307544322
2023-01-29,211.05370307544322
