Date,ARIMA_Forecast
2022-12-31,433.0029214075564
2023-01-01,432.9494093261029
2023-01-02,432.3407510075076
2023-01-03,433.03207686359474
2023-01-04,432.70490824698953
2023-01-05,432.81378305461226
2023-01-06,432.80096682894845
2023-01-07,432.7579162398453
2023-01-08,432.802379605309
2023-01-09,432.77845336796986
2023-01-10,432.78833288238155
2023-01-11,432.78689985153085
2023-01-12,432.78418356559456
2023-01-13,432.78707865134805
2023-01-14,432.7853077841582
2023-01-15,432.7861130680513
2023-01-16,432.78596784327016
2023-01-17,432.78580967241754
2023-01-18,432.7860001737912
2023-01-19,432.78587057083763
2023-01-20,432.7859331027389
2023-01-21,432.78591915667977
2023-01-22,432.78591064311536
2023-01-23,432.78592319616774
2023-01-24,432.78591386803515
2023-01-25,432.7859186095571
2023-01-26,432.7859173380879
2023-01-27,432.7859169296433
2023-01-28,432.78591775020897
2023-01-29,432.785917089287
