Date,Prophet_Forecast
2022-12-31,759.4645573091822
2023-01-01,760.9885881652616
2023-01-02,741.7717057822051
2023-01-03,741.9873273363114
2023-01-04,743.7000270039556
2023-01-05,745.966273825318
2023-01-06,747.9023290217136
2023-01-07,770.7944912146617
2023-01-08,772.3627077896937
2023-01-09,753.0605969049699
2023-01-10,753.06474288474
2023-01-11,754.4452168476113
2023-01-12,756.2661353144513
2023-01-13,757.6533365495095
2023-01-14,779.9043703981425
2023-01-15,780.751827762444
2023-01-16,760.6630624423137
2023-01-17,759.8291763815914
2023-01-18,760.3352282994398
2023-01-19,761.2604861730214
2023-01-20,761.7458104407077
2023-01-21,783.1033700096137
2023-01-22,783.0797225949814
2023-01-23,762.155316457678
2023-01-24,760.5332878040095
2023-01-25,760.3095159045952
2023-01-26,760.572757340437
2023-01-27,760.4719460958098
2023-01-28,781.3258604254015
2023-01-29,780.8861859685292
