Date,ARIMA_Forecast
2022-12-31,143.6286875064728
2023-01-01,143.546172514064
2023-01-02,143.51564040422247
2023-01-03,143.4673510924356
2023-01-04,143.46542623011086
2023-01-05,143.46516954377813
2023-01-06,143.46749130227636
2023-01-07,143.4682984529696
2023-01-08,143.4688025213038
2023-01-09,143.46876604406972
2023-01-10,143.46873225189182
2023-01-11,143.46868876675444
2023-01-12,143.4686770155141
2023-01-13,143.46867304521683
2023-01-14,143.46867476089415
2023-01-15,143.46867574460973
2023-01-16,143.4686763917489
2023-01-17,143.46867650388566
2023-01-18,143.46867650606285
2023-01-19,143.46867646447197
2023-01-20,143.46867644628193
2023-01-21,143.46867643859855
2023-01-22,143.4686764384463
2023-01-23,143.46867643921493
2023-01-24,143.4686764399818
2023-01-25,143.46867644023644
2023-01-26,143.46867644029828
2023-01-27,143.46867644027466
2023-01-28,143.46867644025417
2023-01-29,143.46867644024263
