Date,ARIMA_Forecast
2022-12-31,249.95476575080033
2023-01-01,249.80146143074205
2023-01-02,249.94587460387004
2023-01-03,249.87251047567474
2023-01-04,249.89634679230144
2023-01-05,249.88591591262966
2023-01-06,249.8924041267568
2023-01-07,249.8890609052566
2023-01-08,249.89041411738629
2023-01-09,249.8898086118446
2023-01-10,249.89012710146517
2023-01-11,249.8899664077055
2023-01-12,249.89003799487747
2023-01-13,249.8900051117544
2023-01-14,249.8900213070246
2023-01-15,249.89001331875508
2023-01-16,249.89001702431992
2023-01-17,249.89001529158506
2023-01-18,249.89001612437852
2023-01-19,249.89001571995368
2023-01-20,249.89001591061415
2023-01-21,249.8900158205524
2023-01-22,249.8900158634826
2023-01-23,249.89001584282303
2023-01-24,249.8900158526225
2023-01-25,249.8900158479697
2023-01-26,249.89001585018255
2023-01-27,249.89001584912282
2023-01-28,249.8900158496266
2023-01-29,249.89001584938683
