Date,SARIMA_Forecast
2022-12-31,141.9224712909411
2023-01-01,141.79913512652126
2023-01-02,141.68088463676526
2023-01-03,141.63578722132848
2023-01-04,141.83377989821668
2023-01-05,142.13419558357717
2023-01-06,142.2705047572168
2023-01-07,142.1798211891014
2023-01-08,142.16175228356872
2023-01-09,142.5929819866979
2023-01-10,143.05007876833213
2023-01-11,143.13898724727449
2023-01-12,143.17119758499447
2023-01-13,143.04697645362714
2023-01-14,142.92835858630013
2023-01-15,142.88284240100256
2023-01-16,143.0802545449684
2023-01-17,143.38089777902897
2023-01-18,143.5166959268397
2023-01-19,143.42640490704153
2023-01-20,143.40840029345568
2023-01-21,143.8391399272845
2023-01-22,144.29654771520424
2023-01-23,144.3851850664781
2023-01-24,144.41739545182853
2023-01-25,144.29317448161277
2023-01-26,144.1745566811849
2023-01-27,144.1290405721449
2023-01-28,144.32645282182523
2023-01-29,144.62709601444934
