Date,SARIMA_Forecast
2022-12-31,254.23978839665062
2023-01-01,254.23978839636257
2023-01-02,254.32701549850367
2023-01-03,254.3270154985636
2023-01-04,254.11324091869497
2023-01-05,254.1132409189509
2023-01-06,254.02778522983652
2023-01-07,254.02778522983786
2023-01-08,253.95175872043976
2023-01-09,253.9517587204811
2023-01-10,254.12136044312763
2023-01-11,254.1213604437796
2023-01-12,254.08596515861083
2023-01-13,254.0859651583474
2023-01-14,254.24099219535395
2023-01-15,254.24099219540878
2023-01-16,254.1164834532062
2023-01-17,254.11648345344025
2023-01-18,253.8518974843451
2023-01-19,253.85189748434635
2023-01-20,254.10564593810574
2023-01-21,254.10564593814357
2023-01-22,254.03838658792716
2023-01-23,254.0383865885234
2023-01-24,254.00086870140203
2023-01-25,254.00086870113648
2023-01-26,254.15009735266878
2023-01-27,254.15009735272403
2023-01-28,254.01795441828367
2023-01-29,254.01795441851962
