Date,Prophet_Forecast
2022-12-31,163.91314629358163
2023-01-01,165.2655311811308
2023-01-02,166.4134353194216
2023-01-03,167.64143218080963
2023-01-04,168.67042320455045
2023-01-05,169.76343017102377
2023-01-06,170.59445230865762
2023-01-07,172.27081785220165
2023-01-08,173.10471256179125
2023-01-09,173.6319439562202
2023-01-10,174.15341725524817
2023-01-11,174.40801863945364
2023-01-12,174.67797292005423
2023-01-13,174.65723789273795
2023-01-14,175.47337656613053
2023-01-15,175.45860167565954
2023-01-16,175.16806326026042
2023-01-17,174.92086713221056
2023-01-18,174.47253118902753
2023-01-19,174.11995721119442
2023-01-20,173.5694899087008
2023-01-21,173.95851258777168
2023-01-22,173.62628051014414
2023-01-23,173.13206769376094
2023-01-24,172.79611814029673
2023-01-25,172.37210969913806
2023-01-26,172.1522075502543
2023-01-27,171.83527650854472
2023-01-28,172.54869713513872
2023-01-29,172.61948063837548
