Date,SARIMA_Forecast
2022-12-31,173.57144077611028
2023-01-01,173.75750202569753
2023-01-02,173.89120865627095
2023-01-03,173.77686950814396
2023-01-04,173.40379240636378
2023-01-05,173.69557568807417
2023-01-06,173.49478545926354
2023-01-07,173.96285119708142
2023-01-08,173.87269034321272
2023-01-09,174.44532460469287
2023-01-10,174.4622566805695
2023-01-11,174.69961115316838
2023-01-12,174.46569354034895
2023-01-13,174.6628815281569
2023-01-14,174.80013963523828
2023-01-15,174.68698266197353
2023-01-16,174.31417931483585
2023-01-17,174.60615174909074
2023-01-18,174.40538047265264
2023-01-19,174.873481451834
2023-01-20,174.7833250117433
2023-01-21,175.3558672358956
2023-01-22,175.37285068262224
2023-01-23,175.61015377987633
2023-01-24,175.3762353818327
2023-01-25,175.57342311751498
2023-01-26,175.71068114418827
2023-01-27,175.59752414411406
2023-01-28,175.2247207909111
2023-01-29,175.5166932207907
