Date,Prophet_Forecast
2022-12-31,350.1510496976684
2023-01-01,348.6955425010268
2023-01-02,347.35602896616393
2023-01-03,345.3811566679984
2023-01-04,343.9136654739298
2023-01-05,342.5390074007057
2023-01-06,339.8565042028753
2023-01-07,336.6692677531147
2023-01-08,334.1977292990892
2023-01-09,331.91102995612795
2023-01-10,329.0732692109862
2023-01-11,326.84177073603973
2023-01-12,324.8154421457616
2023-01-13,321.60568474257894
2023-01-14,318.02608277129417
2023-01-15,315.30572262665527
2023-01-16,312.9203985515814
2023-01-17,310.13870551213967
2023-01-18,308.120182105097
2023-01-19,306.4635832465513
2023-01-20,303.7777412827747
2023-01-21,300.871247037076
2023-01-22,298.96580256325547
2023-01-23,297.52750274186036
2023-01-24,295.81304622978513
2023-01-25,294.96803763766627
2023-01-26,294.5754588797317
2023-01-27,293.22676571267107
2023-01-28,291.7118375516045
2023-01-29,291.23262814584007
