Date,Prophet_Forecast
2022-12-31,164.80440479378612
2023-01-01,164.4659680556257
2023-01-02,164.61897393679283
2023-01-03,163.89769953877993
2023-01-04,163.59611355656446
2023-01-05,163.25094463500278
2023-01-06,162.44728988690633
2023-01-07,160.8895204773898
2023-01-08,160.09439424411767
2023-01-09,159.83778959194504
2023-01-10,158.76106343031233
2023-01-11,158.1641966152643
2023-01-12,157.5887414395493
2023-01-13,156.62333615495308
2023-01-14,154.97454536750115
2023-01-15,154.1599375068446
2023-01-16,153.9548141117393
2023-01-17,152.99859347013515
2023-01-18,152.58801112602617
2023-01-19,152.26015015919083
2023-01-20,151.59806394582822
2023-01-21,150.3017473909123
2023-01-22,149.88136448875048
2023-01-23,150.1041432044448
2023-01-24,149.6009361605115
2023-01-25,149.6596053879076
2023-01-26,149.80823970513552
2023-01-27,149.62096311182742
2023-01-28,148.78908599433385
2023-01-29,148.814503037449
