Date,Prophet_Forecast
2022-12-31,247.8163574182088
2023-01-01,248.06167943750003
2023-01-02,250.09533065762
2023-01-03,250.19475329190604
2023-01-04,250.17854814544003
2023-01-05,250.04823274492173
2023-01-06,250.0677200642907
2023-01-07,248.09203330487844
2023-01-08,247.8095292567556
2023-01-09,249.28557994847674
2023-01-10,248.80800859750838
2023-01-11,248.20630324867696
2023-01-12,247.49312301292628
2023-01-13,246.9435179698419
2023-01-14,244.42338479657133
2023-01-15,243.63143726241594
2023-01-16,244.6426477393394
2023-01-17,243.75346184110398
2023-01-18,242.8008151721205
2023-01-19,241.80347203707274
2023-01-20,241.04111132669206
2023-01-21,238.38268489954007
2023-01-22,237.52832987714962
2023-01-23,238.5527922455756
2023-01-24,237.75066405521312
2023-01-25,236.95546231744044
2023-01-26,236.1810675349816
2023-01-27,235.70094419475808
2023-01-28,233.37666476883294
2023-01-29,232.90001408803033
