Date,ARIMA_Forecast
2022-12-31,63.26145997759489
2023-01-01,63.26146101576366
2023-01-02,63.24962264767154
2023-01-03,63.249621605884144
2023-01-04,63.250242323851666
2023-01-05,63.25024238120734
2023-01-06,63.24988294135051
2023-01-07,63.24988287793058
2023-01-08,63.249900784388494
2023-01-09,63.24990078673972
2023-01-10,63.24988987062307
2023-01-11,63.249889867726736
2023-01-12,63.24989038271888
2023-01-13,63.24989038280342
2023-01-14,63.24989005120026
2023-01-15,63.24989005108265
2023-01-16,63.24989006584313
2023-01-17,63.24989006584593
2023-01-18,63.24989005577015
2023-01-19,63.249890055765675
2023-01-20,63.24989005618709
2023-01-21,63.249890056187176
2023-01-22,63.24989005588095
2023-01-23,63.24989005588078
2023-01-24,63.24989005589276
2023-01-25,63.24989005589276
2023-01-26,63.249890055883455
2023-01-27,63.24989005588345
2023-01-28,63.24989005588379
2023-01-29,63.24989005588379
