Date,SARIMA_Forecast
2022-12-31,237.86677912067483
2023-01-01,238.13821167817147
2023-01-02,236.70096887577193
2023-01-03,237.06127283002309
2023-01-04,236.5234223589744
2023-01-05,237.34196400986787
2023-01-06,237.5327202761356
2023-01-07,237.56539295076408
2023-01-08,238.3415369470482
2023-01-09,238.31287232917194
2023-01-10,239.34730485519168
2023-01-11,239.12374231560207
2023-01-12,238.94501207078176
2023-01-13,239.34625761750982
2023-01-14,237.85727131089223
2023-01-15,238.2379086933617
2023-01-16,237.69188273697253
2023-01-17,238.51391137930491
2023-01-18,238.70318425298208
2023-01-19,238.7364540510763
2023-01-20,239.51241897762154
2023-01-21,239.48371095002037
2023-01-22,240.51829521858753
2023-01-23,240.29465229187414
2023-01-24,240.11593343734987
2023-01-25,240.5171744378986
2023-01-26,239.0281899444579
2023-01-27,239.40882661858632
2023-01-28,238.8628009482981
2023-01-29,239.68482946492364
