Date,Prophet_Forecast
2022-12-31,53.59479331044656
2023-01-01,53.66023772228275
2023-01-02,53.70732810212646
2023-01-03,53.64836807008184
2023-01-04,53.86298104069254
2023-01-05,53.68130394158827
2023-01-06,53.75922586999245
2023-01-07,53.823278624066596
2023-01-08,53.80952215617746
2023-01-09,53.775915395679334
2023-01-10,53.63572587190838
2023-01-11,53.769544842509134
2023-01-12,53.5084672518249
2023-01-13,53.509316573607094
2023-01-14,53.4995216343176
2023-01-15,53.41598862545288
2023-01-16,53.317458915469274
2023-01-17,53.11790625638577
2023-01-18,53.198540255166456
2023-01-19,52.89097559948794
2023-01-20,52.852447255629095
2023-01-21,52.8106788953799
2023-01-22,52.702747916253905
2023-01-23,52.58743781442341
2023-01-24,52.37863164461642
2023-01-25,52.45731356375747
2023-01-26,52.15473805880612
2023-01-27,52.1276471683209
2023-01-28,52.10314302382659
2023-01-29,52.01755911841465
