Date,ARIMA_Forecast
2022-12-31,106.9825698383734
2023-01-01,106.97217940647026
2023-01-02,106.85078446357939
2023-01-03,106.91709581420334
2023-01-04,106.9089531681184
2023-01-05,106.91050869313545
2023-01-06,106.91908190411274
2023-01-07,106.9153895084137
2023-01-08,106.91597952913848
2023-01-09,106.91585728407254
2023-01-10,106.91526101020686
2023-01-11,106.91545588876235
2023-01-12,106.91540762392434
2023-01-13,106.91541383973727
2023-01-14,106.91545420227746
2023-01-15,106.91544453051213
2023-01-16,106.91544864787365
2023-01-17,106.91544858749187
2023-01-18,106.91544595714326
2023-01-19,106.9154464085475
2023-01-20,106.91544606260226
2023-01-21,106.91544602909072
2023-01-22,106.91544619219246
2023-01-23,106.91544617169409
2023-01-24,106.91544619951685
2023-01-25,106.91544620496845
2023-01-26,106.91544619549379
2023-01-27,106.91544619652292
2023-01-28,106.91544619440914
2023-01-29,106.9154461938068
