Date,ARIMA_Forecast
2022-12-31,122.23251970659973
2023-01-01,122.18722220747463
2023-01-02,122.15780689804781
2023-01-03,122.12953967230983
2023-01-04,122.13128732333834
2023-01-05,122.13215619567761
2023-01-06,122.13387951092479
2023-01-07,122.13455192580564
2023-01-08,122.13477160018851
2023-01-09,122.1346818285031
2023-01-10,122.13462940157815
2023-01-11,122.1345957412598
2023-01-12,122.13458872768425
2023-01-13,122.13458961850831
2023-01-14,122.13459233964045
2023-01-15,122.1345935410484
2023-01-16,122.13459394542328
2023-01-17,122.1345939140118
2023-01-18,122.1345938273111
2023-01-19,122.13459377063684
2023-01-20,122.13459375423494
2023-01-21,122.13459375348198
2023-01-22,122.13459375685525
2023-01-23,122.13459375904014
2023-01-24,122.13459375985082
2023-01-25,122.13459375991285
2023-01-26,122.13459375980207
2023-01-27,122.13459375971179
2023-01-28,122.1345937596769
2023-01-29,122.13459375967167
