Date,SARIMA_Forecast
2022-12-31,110.64776268497324
2023-01-01,111.02171910522802
2023-01-02,110.69356064170323
2023-01-03,110.99242301760817
2023-01-04,110.90981017589642
2023-01-05,110.81671946648159
2023-01-06,110.86477578415173
2023-01-07,110.96802091278285
2023-01-08,111.14100882987918
2023-01-09,111.21403411496502
2023-01-10,111.57493319232373
2023-01-11,111.37436225925049
2023-01-12,111.30430879383209
2023-01-13,111.50544891026769
2023-01-14,111.12931038301915
2023-01-15,111.35085872516021
2023-01-16,111.25706787623795
2023-01-17,111.31966408216842
2023-01-18,111.29458125869016
2023-01-19,111.38885119412588
2023-01-20,111.60396684197484
2023-01-21,111.5810096661738
2023-01-22,112.06315669037866
2023-01-23,111.81752272101586
2023-01-24,111.75512427035348
2023-01-25,111.96523068809513
2023-01-26,111.59157812523543
2023-01-27,111.81713666450148
2023-01-28,111.72392503109174
2023-01-29,111.778448055534
