Date,ARIMA_Forecast
2022-12-31,151.64172873489056
2023-01-01,151.7870607555295
2023-01-02,151.8197936471619
2023-01-03,151.9223721663782
2023-01-04,151.92335824615267
2023-01-05,151.90147604542113
2023-01-06,151.8888822184036
2023-01-07,151.8760972593304
2023-01-08,151.8755193778742
2023-01-09,151.87896555749938
2023-01-10,151.88163642100224
2023-01-11,151.88340328940583
2023-01-12,151.8834794176858
2023-01-13,151.88290502856393
2023-01-14,151.88241700705188
2023-01-15,151.88215686096888
2023-01-16,151.88215354325243
2023-01-17,151.88225193195348
2023-01-18,151.88233628631608
2023-01-19,151.8823757367984
2023-01-20,151.88237436300165
2023-01-21,151.88235732680093
2023-01-22,151.88234310560205
2023-01-23,151.88233706279374
2023-01-24,151.88233763259478
2023-01-25,151.88234058893374
2023-01-26,151.88234295585357
2023-01-27,151.88234388105835
2023-01-28,151.88234372868868
2023-01-29,151.88234321659192
