Date,Prophet_Forecast
2022-12-31,82.19222617777814
2023-01-01,82.06704302059653
2023-01-02,86.6777333430135
2023-01-03,86.48115168689357
2023-01-04,86.44659421505145
2023-01-05,86.20550142944153
2023-01-06,86.1101216722683
2023-01-07,81.31197768168029
2023-01-08,81.20585521512764
2023-01-09,85.85057118721991
2023-01-10,85.70266029765557
2023-01-11,85.73079613466011
2023-01-12,85.56549975444406
2023-01-13,85.55781672448941
2023-01-14,80.85780477618155
2023-01-15,80.85855073371192
2023-01-16,85.61697360360253
2023-01-17,85.58755203272455
2023-01-18,85.73679116319285
2023-01-19,85.69298076351504
2023-01-20,85.80492436482793
2023-01-21,81.22048018665564
2023-01-22,81.33063109186851
2023-01-23,86.1903390029182
2023-01-24,86.25232055101031
2023-01-25,86.48155760978801
2023-01-26,86.50509331588007
2023-01-27,86.67079216844404
2023-01-28,82.12590403091413
2023-01-29,82.2611485213607
