Date,Prophet_Forecast
2022-12-31,153.64941559322267
2023-01-01,153.81124206687204
2023-01-02,156.16458277734267
2023-01-03,156.43090494641132
2023-01-04,156.49373913593112
2023-01-05,156.28920029749838
2023-01-06,155.86968789257665
2023-01-07,153.6537971311226
2023-01-08,153.40394664647502
2023-01-09,155.32591860265455
2023-01-10,155.15390987688875
2023-01-11,154.78466460833823
2023-01-12,154.16764508851057
2023-01-13,153.3683742097885
2023-01-14,150.81799112748055
2023-01-15,150.2905350660369
2023-01-16,152.0021626182686
2023-01-17,151.69590601378053
2023-01-18,151.2755507148441
2023-01-19,150.6955963918594
2023-01-20,150.02444038072062
2023-01-21,147.6938298073977
2023-01-22,147.47610035449117
2023-01-23,149.58340848940284
2023-01-24,149.75256448283199
2023-01-25,149.8790428111686
2023-01-26,149.90713065796007
2023-01-27,149.89334879736901
2023-01-28,148.25618487336106
2023-01-29,148.75364969455552
