Date,ARIMA_Forecast
2022-12-31,330.4258708275797
2023-01-01,330.3941569792471
2023-01-02,330.3621102514375
2023-01-03,330.59191987570654
2023-01-04,330.6160886880317
2023-01-05,330.6291154042537
2023-01-06,330.6341133300396
2023-01-07,330.61700618556426
2023-01-08,330.61220442457665
2023-01-09,330.609836427048
2023-01-10,330.6089318185254
2023-01-11,330.61007942906303
2023-01-12,330.6106422910494
2023-01-13,330.6109634070979
2023-01-14,330.6111044971871
2023-01-15,330.6110455346592
2023-01-16,330.6109936427913
2023-01-17,330.61095703637915
2023-01-18,330.6109381030809
2023-01-19,330.6109385814783
2023-01-20,330.61094234963684
2023-01-21,330.6109459790268
2023-01-22,330.6109482238381
2023-01-23,330.6109486708994
2023-01-24,330.61094850355
2023-01-25,330.610948192747
2023-01-26,330.61094795410344
2023-01-27,330.61094786851635
2023-01-28,330.61094786092207
2023-01-29,330.6109478824902
