Date,SARIMA_Forecast
2022-12-31,124.46906435301648
2023-01-01,124.43956086351282
2023-01-02,123.8678740995535
2023-01-03,123.6475896551833
2023-01-04,123.28644087428115
2023-01-05,123.64045537269202
2023-01-06,124.10287888946743
2023-01-07,124.36461245032008
2023-01-08,124.87859008643457
2023-01-09,125.00698284487837
2023-01-10,125.36174345102867
2023-01-11,125.20491968840604
2023-01-12,124.85728171565295
2023-01-13,124.83522851628932
2023-01-14,124.26023361737299
2023-01-15,124.04143461629754
2023-01-16,123.67961420341322
2023-01-17,124.03391592008833
2023-01-18,124.49621705602465
2023-01-19,124.75799625919974
2023-01-20,125.2719508496539
2023-01-21,125.40037257428901
2023-01-22,125.75512872175135
2023-01-23,125.59830708748609
2023-01-24,125.25066795653848
2023-01-25,125.22861527294444
2023-01-26,124.65362014448175
2023-01-27,124.43482124571139
2023-01-28,124.0730007871907
2023-01-29,124.42730252408059
