Date,ARIMA_Forecast
2022-12-31,36.556117089702575
2023-01-01,36.585344021323365
2023-01-02,36.58536601926063
2023-01-03,36.59027851002598
2023-01-04,36.59011042543712
2023-01-05,36.58806324673636
2023-01-06,36.58766336053444
2023-01-07,36.58741646041768
2023-01-08,36.5874183051598
2023-01-09,36.58755585895372
2023-01-10,36.587606401843026
2023-01-11,36.58762246085672
2023-01-12,36.587621473258125
2023-01-13,36.58761192893094
2023-01-14,36.587607137497535
2023-01-15,36.58760585571145
2023-01-16,36.58760601649654
2023-01-17,36.58760671438008
2023-01-18,36.58760712497804
2023-01-19,36.587607235494445
2023-01-20,36.587607218218764
2023-01-21,36.58760716479347
2023-01-22,36.58760713097532
2023-01-23,36.587607121381915
2023-01-24,36.587607122922634
2023-01-25,36.58760712713375
2023-01-26,36.587607129881135
2023-01-27,36.587607130703006
2023-01-28,36.58760713057852
2023-01-29,36.587607130241736
