Date,ARIMA_Forecast
2022-12-31,228.45090995589402
2023-01-01,228.51192132383952
2023-01-02,228.36239381598418
2023-01-03,228.48143187268778
2023-01-04,228.483951453176
2023-01-05,228.48413642602551
2023-01-06,228.4869761955266
2023-01-07,228.4787209933192
2023-01-08,228.47858703950544
2023-01-09,228.47872802313944
2023-01-10,228.47903526023686
2023-01-11,228.4795896513585
2023-01-12,228.4795676312957
2023-01-13,228.47951844081763
2023-01-14,228.47946613659371
2023-01-15,228.4794329258059
2023-01-16,228.47944004674216
2023-01-17,228.47944767418159
2023-01-18,228.47945278191057
2023-01-19,228.47945420218235
2023-01-20,228.47945303603456
2023-01-21,228.47945218047033
2023-01-22,228.47945181179716
2023-01-23,228.47945182639504
2023-01-24,228.47945197073136
2023-01-25,228.47945204737601
2023-01-26,228.47945206431217
2023-01-27,228.47945205133246
2023-01-28,228.47945203655942
2023-01-29,228.4794520311514
