Date,ARIMA_Forecast
2022-12-31,121.49244521967111
2023-01-01,121.49245731150172
2023-01-02,121.46383226854009
2023-01-03,121.46382986895763
2023-01-04,121.471332498215
2023-01-05,121.47133376604346
2023-01-06,121.46979150910066
2023-01-07,121.46979124949134
2023-01-08,121.47018709414178
2023-01-09,121.47018719409526
2023-01-10,121.47010426614567
2023-01-11,121.47010424514238
2023-01-12,121.47012516098738
2023-01-13,121.47012516800726
2023-01-14,121.47012071621825
2023-01-15,121.4701207147114
2023-01-16,121.47012182125671
2023-01-17,121.47012182171977
2023-01-18,121.47012158305762
2023-01-19,121.47012158295647
2023-01-20,121.47012164155993
2023-01-21,121.4701216415893
2023-01-22,121.47012162880874
2023-01-23,121.47012162880223
2023-01-24,121.4701216319087
2023-01-25,121.47012163191052
2023-01-26,121.47012163122673
2023-01-27,121.47012163122632
2023-01-28,121.47012163139111
2023-01-29,121.47012163139122
