Date,Prophet_Forecast
2022-12-31,1531.7276757421648
2023-01-01,1533.150818179804
2023-01-02,1446.305277995233
2023-01-03,1447.0075347511956
2023-01-04,1447.9087301178722
2023-01-05,1449.3871344727204
2023-01-06,1448.972440860944
2023-01-07,1530.1308007411187
2023-01-08,1527.7075585739783
2023-01-09,1437.062432114188
2023-01-10,1434.0941187252977
2023-01-11,1431.533097764628
2023-01-12,1429.831995429618
2023-01-13,1426.587897620493
2023-01-14,1505.3255800672912
2023-01-15,1500.9386630104216
2023-01-16,1408.823481505205
2023-01-17,1404.9026885910478
2023-01-18,1401.9173899599411
2023-01-19,1400.317195908783
2023-01-20,1397.6825858020593
2023-01-21,1477.5085539088855
2023-01-22,1474.646533477701
2023-01-23,1384.4393699087966
2023-01-24,1382.7463308316308
2023-01-25,1382.2369138617487
2023-01-26,1383.2827926011646
2023-01-27,1383.382244769201
2023-01-28,1465.9459753165065
2023-01-29,1465.741272251769
