Date,SARIMA_Forecast
2022-12-31,128.29790599745746
2023-01-01,128.23647736690162
2023-01-02,127.88884155254038
2023-01-03,127.7349782677509
2023-01-04,127.69118237482357
2023-01-05,127.91378234521946
2023-01-06,127.7639060421288
2023-01-07,127.70041782081458
2023-01-08,127.96003282472734
2023-01-09,128.31526411854918
2023-01-10,128.80770099780187
2023-01-11,128.59554335689342
2023-01-12,128.7138251411562
2023-01-13,128.7057685717145
2023-01-14,128.3294904833797
2023-01-15,128.1909271247591
2023-01-16,128.13892532797462
2023-01-17,128.3659263907791
2023-01-18,128.21369850681705
2023-01-19,128.15147990458755
2023-01-20,128.41044639758766
2023-01-21,128.76600384565955
2023-01-22,129.25825354666185
2023-01-23,129.04613404219245
2023-01-24,129.1643638635757
2023-01-25,129.15633513841445
2023-01-26,128.78004213162583
2023-01-27,128.64148676880154
2023-01-28,128.58948068782692
2023-01-29,128.81648404612434
