Date,Prophet_Forecast
2022-12-31,185.36109001471564
2023-01-01,185.65265106087958
2023-01-02,187.6986383135563
2023-01-03,188.07020058788228
2023-01-04,188.42955449916667
2023-01-05,188.57909343876292
2023-01-06,188.98165740025343
2023-01-07,187.55120872356832
2023-01-08,187.87367589362003
2023-01-09,189.9370735931246
2023-01-10,190.31336680892727
2023-01-11,190.665935377302
2023-01-12,190.79864237784233
2023-01-13,191.17605474327848
2023-01-14,189.7140627119857
2023-01-15,190.00066200628774
2023-01-16,192.02600881496755
2023-01-17,192.36421733257427
2023-01-18,192.6807582089046
2023-01-19,192.78146324281036
2023-01-20,193.132686511269
2023-01-21,191.651870231431
2023-01-22,191.92828070931395
2023-01-23,193.9530256839127
2023-01-24,194.30082377683232
2023-01-25,194.6373850624884
2023-01-26,194.76840844433326
2023-01-27,195.15974606515704
2023-01-28,193.72798277698098
2023-01-29,194.06119545770076
