Date,Prophet_Forecast
2022-12-31,170.88822557064185
2023-01-01,170.44229527828264
2023-01-02,170.01531763917757
2023-01-03,169.6212468825572
2023-01-04,168.76063570114601
2023-01-05,168.24384527348823
2023-01-06,167.64842056364446
2023-01-07,166.47560735231727
2023-01-08,165.61431221300109
2023-01-09,164.78750880924144
2023-01-10,164.01780858787967
2023-01-11,162.8139216089178
2023-01-12,161.99367045974026
2023-01-13,161.14119074231996
2023-01-14,159.7632987678551
2023-01-15,158.75333103924214
2023-01-16,157.8374613731143
2023-01-17,157.04021527211597
2023-01-18,155.87090786335062
2023-01-19,155.14666797473538
2023-01-20,154.44968054725197
2023-01-21,153.28362587592565
2023-01-22,152.53761735470775
2023-01-23,151.93264001662857
2023-01-24,151.48720538972182
2023-01-25,150.70394450328791
2023-01-26,150.39279689024661
2023-01-27,150.1284229634303
2023-01-28,149.4068134937187
2023-01-29,149.10939329868575
