Date,SARIMA_Forecast
2022-12-31,402.3046354262995
2023-01-01,403.86216702097437
2023-01-02,402.8263621208454
2023-01-03,402.93225985080215
2023-01-04,403.8816218043824
2023-01-05,404.92806553830286
2023-01-06,405.1522319953523
2023-01-07,405.8667798594539
2023-01-08,407.3688904185907
2023-01-09,406.8006309248653
2023-01-10,406.97616756439095
2023-01-11,407.9196347736228
2023-01-12,407.28937707233194
2023-01-13,407.7761655485772
2023-01-14,406.4170349286118
2023-01-15,405.9465446586165
2023-01-16,405.0432569263894
2023-01-17,406.58125441333664
2023-01-18,406.3190053367457
2023-01-19,406.9460464667598
2023-01-20,408.139304371213
2023-01-21,407.53602982383546
2023-01-22,408.62076667593664
2023-01-23,409.08409819232685
2023-01-24,408.58668535501397
2023-01-25,409.155985725087
2023-01-26,407.8217563386622
2023-01-27,407.39567588853964
2023-01-28,406.6351186399039
2023-01-29,408.13524646701245
