Date,ARIMA_Forecast
2022-12-31,100.3996389470505
2023-01-01,100.39964389470416
2023-01-02,100.35918450013975
2023-01-03,100.35917936294697
2023-01-04,100.36595101068126
2023-01-05,100.36595200345062
2023-01-06,100.36424593114873
2023-01-07,100.36424552527075
2023-01-08,100.36457090392794
2023-01-09,100.3645709897722
2023-01-10,100.36449627818581
2023-01-11,100.36449625243068
2023-01-12,100.36451138156993
2023-01-13,100.36451138732974
2023-01-14,100.3645080543626
2023-01-15,100.3645080528563
2023-01-16,100.36450874651588
2023-01-17,100.36450874685984
2023-01-18,100.36450859686957
2023-01-19,100.3645085967855
2023-01-20,100.36450862839285
2023-01-21,100.36450862841212
2023-01-22,100.36450862163504
2023-01-23,100.36450862163049
2023-01-24,100.36450862306673
2023-01-25,100.36450862306776
2023-01-26,100.364508622761
2023-01-27,100.36450862276075
2023-01-28,100.36450862282594
2023-01-29,100.364508622826
