Date,SARIMA_Forecast
2022-12-31,118.10592635259131
2023-01-01,118.1059263525875
2023-01-02,118.00436063596779
2023-01-03,118.00436063592794
2023-01-04,118.041522361723
2023-01-05,118.04152236169291
2023-01-06,118.30210400464865
2023-01-07,118.30210400472097
2023-01-08,118.42422980549583
2023-01-09,118.4242298055198
2023-01-10,118.43511023455542
2023-01-11,118.43511023445201
2023-01-12,118.37622419437872
2023-01-13,118.3762241943751
2023-01-14,118.4756700457264
2023-01-15,118.47567004568842
2023-01-16,118.5782114552167
2023-01-17,118.57821145518801
2023-01-18,118.67706986143317
2023-01-19,118.67706986150205
2023-01-20,118.84448347069817
2023-01-21,118.844483470721
2023-01-22,118.93096934986153
2023-01-23,118.93096934976303
2023-01-24,118.87987554149062
2023-01-25,118.87987554148698
2023-01-26,118.96981768558081
2023-01-27,118.96981768554275
2023-01-28,119.06926798254919
2023-01-29,119.06926798252047
