Date,Prophet_Forecast
2022-12-31,245.29688063480455
2023-01-01,245.2077419611844
2023-01-02,235.0556560999799
2023-01-03,235.11518610175432
2023-01-04,235.10385501313158
2023-01-05,235.11286587396745
2023-01-06,234.44719952872683
2023-01-07,243.37057580874574
2023-01-08,242.9170910484195
2023-01-09,232.45460526884463
2023-01-10,232.26226402715244
2023-01-11,232.06069265258637
2023-01-12,231.9426689084528
2023-01-13,231.21321767361133
2023-01-14,240.13461263563735
2023-01-15,239.7380960802082
2023-01-16,229.387386985263
2023-01-17,229.3563581512365
2023-01-18,229.3594148210289
2023-01-19,229.48237472672912
2023-01-20,229.02278641909606
2023-01-21,238.23516370732963
2023-01-22,238.1429399302248
2023-01-23,228.1022049334798
2023-01-24,228.37959841001765
2023-01-25,228.68288545974298
2023-01-26,229.09200839111423
2023-01-27,228.89954656825344
2023-01-28,238.35605809716952
2023-01-29,238.4821041766942
