Date,Prophet_Forecast
2022-12-31,281.08423222679113
2023-01-01,280.75371217080334
2023-01-02,298.8484447789128
2023-01-03,298.77624376673276
2023-01-04,298.4418384676322
2023-01-05,297.8131897594693
2023-01-06,297.1572215175886
2023-01-07,277.830057827194
2023-01-08,277.2733360305757
2023-01-09,295.2115203538385
2023-01-10,295.06192667732785
2023-01-11,294.7371362970126
2023-01-12,294.21108313254376
2023-01-13,293.75460693247123
2023-01-14,274.72556718174206
2023-01-15,274.5650906619224
2023-01-16,292.99487862435564
2023-01-17,293.4272836865249
2023-01-18,293.76783220743295
2023-01-19,293.98147296089746
2023-01-20,294.32833959335596
2023-01-21,276.15411525706173
2023-01-22,276.88656500106885
2023-01-23,296.233153692047
2023-01-24,297.5914508147697
2023-01-25,298.8519888427881
2023-01-26,299.96484689253595
2023-01-27,301.17573827073835
2023-01-28,283.8166819091063
2023-01-29,285.3028155899526
