Date,SARIMA_Forecast
2022-12-31,338.28055627241014
2023-01-01,338.59933792833067
2023-01-02,337.19285001573934
2023-01-03,336.7014033885454
2023-01-04,335.2916431352556
2023-01-05,335.84556475414337
2023-01-06,335.9601219916772
2023-01-07,336.4399981425118
2023-01-08,337.94724628063483
2023-01-09,338.4453919481493
2023-01-10,339.41634704751993
2023-01-11,339.2966948910261
2023-01-12,339.4682760560713
2023-01-13,339.69292816060715
2023-01-14,338.24562366349494
2023-01-15,337.7230145763049
2023-01-16,336.3071828148567
2023-01-17,336.85556335307075
2023-01-18,336.9568318207805
2023-01-19,337.4385844715201
2023-01-20,338.9439110661038
2023-01-21,339.43812715727495
2023-01-22,340.4119884205187
2023-01-23,340.2877514754446
2023-01-24,340.45951722164517
2023-01-25,340.68430313096985
2023-01-26,339.2370539276774
2023-01-27,338.7144908292918
2023-01-28,337.2986653040347
2023-01-29,337.84705321731445
