Date,SARIMA_Forecast
2022-12-31,176.24699540930683
2023-01-01,176.46435067950068
2023-01-02,176.08084096483387
2023-01-03,176.2494809795722
2023-01-04,176.6494510757484
2023-01-05,176.70437230966138
2023-01-06,176.79798728134864
2023-01-07,176.92961267270263
2023-01-08,177.72201817299216
2023-01-09,177.44560076304498
2023-01-10,177.43490529629258
2023-01-11,177.27618323569493
2023-01-12,176.81576633188592
2023-01-13,176.7583434228883
2023-01-14,176.28483789514397
2023-01-15,176.35888099617924
2023-01-16,176.67968825173682
2023-01-17,176.9409879344825
2023-01-18,176.9423825856707
2023-01-19,177.1270201191743
2023-01-20,177.87477380977575
2023-01-21,177.5426057060548
2023-01-22,177.73521119229068
2023-01-23,177.49807997753769
2023-01-24,177.0528764445915
2023-01-25,177.00999936676592
2023-01-26,176.54125766810895
2023-01-27,176.62030833448273
2023-01-28,176.94530608434997
2023-01-29,177.1956810618778
