Date,ARIMA_Forecast
2022-12-31,116.60493159811006
2023-01-01,116.46173261511132
2023-01-02,116.60039222665287
2023-01-03,116.67314538188187
2023-01-04,116.69866565809487
2023-01-05,116.69499822245122
2023-01-06,116.71019491468931
2023-01-07,116.72288301322494
2023-01-08,116.72767116759861
2023-01-09,116.72873255192283
2023-01-10,116.73093120681541
2023-01-11,116.73295221627488
2023-01-12,116.73388883444274
2023-01-13,116.73425100888136
2023-01-14,116.73462124058922
2023-01-15,116.73494748954923
2023-01-16,116.73512439860419
2023-01-17,116.73520900988888
2023-01-18,116.73527576174747
2023-01-19,116.73533026893028
2023-01-20,116.73536288415544
2023-01-21,116.735380439063
2023-01-22,116.73539280184941
2023-01-23,116.73540221101814
2023-01-24,116.7354081610643
2023-01-25,116.7354116088774
2023-01-26,116.73541391716797
2023-01-27,116.73541558233839
2023-01-28,116.735416665025
2023-01-29,116.73541732284157
