Date,ARIMA_Forecast
2022-12-31,161.62877027012385
2023-01-01,161.62876707868165
2023-01-02,161.5950824762431
2023-01-03,161.595077687202
2023-01-04,161.5959928029056
2023-01-05,161.5959926494675
2023-01-06,161.59479640466327
2023-01-07,161.59479606734476
2023-01-08,161.5948373419993
2023-01-09,161.59483733767183
2023-01-10,161.59479478955333
2023-01-11,161.5947947717056
2023-01-12,161.59479654786716
2023-01-13,161.59479654784207
2023-01-14,161.5947950321793
2023-01-15,161.59479503133855
2023-01-16,161.5947951054094
2023-01-17,161.59479510541618
2023-01-18,161.59479505134385
2023-01-19,161.59479505130668
2023-01-20,161.5947950543272
2023-01-21,161.59479505432782
2023-01-22,161.5947950523959
2023-01-23,161.59479505239432
2023-01-24,161.59479505251545
2023-01-25,161.59479505251548
2023-01-26,161.59479505244636
2023-01-27,161.5947950524463
2023-01-28,161.5947950524511
2023-01-29,161.5947950524511
