Date,SARIMA_Forecast
2022-12-31,4597.274547289742
2023-01-01,4618.223531501704
2023-01-02,4590.630361344548
2023-01-03,4582.388514210863
2023-01-04,4587.115117464701
2023-01-05,4593.681435593344
2023-01-06,4595.8603627465955
2023-01-07,4608.522530872239
2023-01-08,4621.433434123152
2023-01-09,4625.684714068517
2023-01-10,4659.338769081897
2023-01-11,4633.101932860694
2023-01-12,4615.6202051510945
2023-01-13,4634.429822928881
2023-01-14,4605.503048229866
2023-01-15,4597.040444819521
2023-01-16,4601.2528912758435
2023-01-17,4606.627814894286
2023-01-18,4608.422486369496
2023-01-19,4620.882708260472
2023-01-20,4633.40533040652
2023-01-21,4637.982493248489
2023-01-22,4670.9940807145385
2023-01-23,4644.589021295663
2023-01-24,4626.898722253423
2023-01-25,4645.533860774591
2023-01-26,4616.466249916177
2023-01-27,4607.893752417373
2023-01-28,4612.013194684738
2023-01-29,4617.30594328243
