Date,Prophet_Forecast
2022-12-31,169.10793206086646
2023-01-01,169.29920568045355
2023-01-02,162.19350880197044
2023-01-03,161.9240985652411
2023-01-04,161.69232417678984
2023-01-05,161.58642850689648
2023-01-06,161.252661510846
2023-01-07,168.90296228640136
2023-01-08,168.55718886817962
2023-01-09,160.90471998678353
2023-01-10,160.09245622830682
2023-01-11,159.33519373353897
2023-01-12,158.73408524730067
2023-01-13,157.9474295643774
2023-01-14,165.19805434073717
2023-01-15,164.51527881127205
2023-01-16,156.59628717800786
2023-01-17,155.5939455723339
2023-01-18,154.72703999882498
2023-01-19,154.09865303658069
2023-01-20,153.3669219467797
2023-01-21,160.7524433631534
2023-01-22,160.28030993291176
2023-01-23,152.64160716195204
2023-01-24,151.98139960455703
2023-01-25,151.5091789018338
2023-01-26,151.31748554671557
2023-01-27,151.05294029844902
2023-01-28,158.92394305992096
2023-01-29,158.94301678661483
