Date,ARIMA_Forecast
2022-12-31,88.76800657663884
2023-01-01,88.76801783061875
2023-01-02,88.7633719119531
2023-01-03,88.76337022932452
2023-01-04,88.76403964043801
2023-01-05,88.76404002530145
2023-01-06,88.76395115036843
2023-01-07,88.76395108859087
2023-01-08,88.76396336840683
2023-01-09,88.76396337908527
2023-01-10,88.76396171542153
2023-01-11,88.76396171373682
2023-01-12,88.76396194131243
2023-01-13,88.76396194157945
2023-01-14,88.76396191059614
2023-01-15,88.76396191055511
2023-01-16,88.76396191478317
2023-01-17,88.76396191478942
2023-01-18,88.76396191421311
2023-01-19,88.76396191421217
2023-01-20,88.76396191429077
2023-01-21,88.76396191429092
2023-01-22,88.7639619142802
2023-01-23,88.76396191428019
2023-01-24,88.76396191428165
2023-01-25,88.76396191428165
2023-01-26,88.76396191428145
2023-01-27,88.76396191428145
2023-01-28,88.76396191428148
2023-01-29,88.76396191428148
