Date,Prophet_Forecast
2022-12-31,192.64589753028085
2023-01-01,192.2526461213412
2023-01-02,194.10560281565034
2023-01-03,193.61340767924307
2023-01-04,193.04733896193906
2023-01-05,192.67960363513228
2023-01-06,192.60016339423956
2023-01-07,189.3188064922161
2023-01-08,188.77548887744658
2023-01-09,190.51047815234998
2023-01-10,189.93501769245358
2023-01-11,189.32241158069831
2023-01-12,188.94626535862113
2023-01-13,188.89727643764704
2023-01-14,185.68528554592945
2023-01-15,185.2496132643291
2023-01-16,187.12921529928317
2023-01-17,186.73337350996127
2023-01-18,186.33282257598285
2023-01-19,186.19804611673482
2023-01-20,186.41613452733068
2023-01-21,183.4929139904485
2023-01-22,183.3633685216623
2023-01-23,185.56188628890993
2023-01-24,185.4930446794906
2023-01-25,185.42283140004264
2023-01-26,185.6170328432499
2023-01-27,186.15817951382826
2023-01-28,183.54775568207396
2023-01-29,183.71669308488447
