Date,ARIMA_Forecast
2022-12-31,4609.968726056776
2023-01-01,4610.644921227748
2023-01-02,4609.727824379023
2023-01-03,4611.119614491797
2023-01-04,4610.595350219628
2023-01-05,4610.5090436520795
2023-01-06,4610.524729911273
2023-01-07,4610.519303450579
2023-01-08,4610.542599735692
2023-01-09,4610.534477904504
2023-01-10,4610.532208763139
2023-01-11,4610.53249543883
2023-01-12,4610.532585301386
2023-01-13,4610.532983747274
2023-01-14,4610.532851068497
2023-01-15,4610.5327971235965
2023-01-16,4610.532801771958
2023-01-17,4610.532806726786
2023-01-18,4610.532813740465
2023-01-19,4610.53281144763
2023-01-20,4610.532810230682
2023-01-21,4610.532810299554
2023-01-22,4610.532810450504
2023-01-23,4610.532810577973
2023-01-24,4610.532810536125
2023-01-25,4610.532810509458
2023-01-26,4610.532810510385
2023-01-27,4610.532810514282
2023-01-28,4610.532810516673
2023-01-29,4610.5328105158715
