Date,SARIMA_Forecast
2022-12-31,843.1885328838656
2023-01-01,844.1245577343386
2023-01-02,842.8566662385637
2023-01-03,844.0574653175175
2023-01-04,844.7131378031795
2023-01-05,845.878316098271
2023-01-06,846.1701268995857
2023-01-07,847.8987427762776
2023-01-08,848.8868685543869
2023-01-09,848.6352399098018
2023-01-10,851.7257438448393
2023-01-11,850.3176524733666
2023-01-12,849.6906946487624
2023-01-13,850.4996674711699
2023-01-14,849.3033142413831
2023-01-15,850.4696280224751
2023-01-16,851.1510674222267
2023-01-17,852.3116778079677
2023-01-18,852.6019351982569
2023-01-19,854.3333019254519
2023-01-20,855.3306630333607
2023-01-21,855.078750682152
2023-01-22,858.1666933671521
2023-01-23,856.7596559662317
2023-01-24,856.1327170753716
2023-01-25,856.9416855780331
2023-01-26,855.7453339740316
2023-01-27,856.9116427569555
2023-01-28,857.593079758397
2023-01-29,858.7536838613777
