Date,ARIMA_Forecast
2022-12-31,389.870478703214
2023-01-01,389.8617605754952
2023-01-02,388.64106274730415
2023-01-03,389.48425700129053
2023-01-04,389.276190670566
2023-01-05,389.3643803579992
2023-01-06,389.41737061877353
2023-01-07,389.30720736661783
2023-01-08,389.3671901290616
2023-01-09,389.34389505584863
2023-01-10,389.34962604674723
2023-01-11,389.3572787279481
2023-01-12,389.34825155698013
2023-01-13,389.35326985545385
2023-01-14,389.3511007376843
2023-01-15,389.35130218992725
2023-01-16,389.35209319317573
2023-01-17,389.35133409901243
2023-01-18,389.3517778426431
2023-01-19,389.3515999716492
2023-01-20,389.3515943354423
2023-01-21,389.3516689295408
2023-01-22,389.35160247293504
2023-01-23,389.3516413062731
2023-01-24,389.35162773406694
2023-01-25,389.35162566931456
2023-01-26,389.3516326036203
2023-01-27,389.3516266825541
2023-01-28,389.3516299960381
2023-01-29,389.3516290004778
