Date,ARIMA_Forecast
2022-12-31,2016.764343278587
2023-01-01,2016.764634512349
2023-01-02,2017.1750224802622
2023-01-03,2017.1750872910573
2023-01-04,2017.2241785621873
2023-01-05,2017.2241981597383
2023-01-06,2017.238539016468
2023-01-07,2017.2385435069489
2023-01-08,2017.240157960255
2023-01-09,2017.2401589468886
2023-01-10,2017.240661288056
2023-01-11,2017.2406615217978
2023-01-12,2017.240714249535
2023-01-13,2017.24071429356
2023-01-14,2017.2407319355286
2023-01-15,2017.240731946364
2023-01-16,2017.2407336537024
2023-01-17,2017.2407336555377
2023-01-18,2017.2407342768379
2023-01-19,2017.2407342773097
2023-01-20,2017.2407343319967
2023-01-21,2017.24073433207
2023-01-22,2017.2407343540153
2023-01-23,2017.240734354035
2023-01-24,2017.2407343557625
2023-01-25,2017.2407343557652
2023-01-26,2017.2407343565428
2023-01-27,2017.2407343565437
2023-01-28,2017.2407343565974
2023-01-29,2017.2407343565974
