Date,ARIMA_Forecast
2022-12-31,258.1489626721508
2023-01-01,257.68149906137774
2023-01-02,257.8111533868469
2023-01-03,257.860068895695
2023-01-04,257.87187693167243
2023-01-05,257.86665393264457
2023-01-06,257.85450063778967
2023-01-07,257.8583180908904
2023-01-08,257.8593707869992
2023-01-09,257.8604455676871
2023-01-10,257.8598116238925
2023-01-11,257.8595808384733
2023-01-12,257.859613444602
2023-01-13,257.8596898222207
2023-01-14,257.859717234007
2023-01-15,257.8596961183784
2023-01-16,257.85968813145763
2023-01-17,257.85968816872986
2023-01-18,257.859691667825
2023-01-19,257.85969229466514
2023-01-20,257.8596917113549
2023-01-21,257.85969133821993
2023-01-22,257.8596913605079
2023-01-23,257.8596914828258
2023-01-24,257.85969150623043
2023-01-25,257.85969148661115
2023-01-26,257.8596914715939
2023-01-27,257.8596914729587
2023-01-28,257.8596914771005
2023-01-29,257.8596914781322
