Date,Prophet_Forecast
2022-12-31,92.24659613273846
2023-01-01,92.35407352159372
2023-01-02,93.578362157956
2023-01-03,93.78004922633095
2023-01-04,93.94679357082039
2023-01-05,93.9865081281559
2023-01-06,94.05209283397663
2023-01-07,92.90777530289964
2023-01-08,92.98331868300184
2023-01-09,94.17508981775703
2023-01-10,94.34477165816698
2023-01-11,94.48112436364126
2023-01-12,94.49314242113499
2023-01-13,94.53476209750133
2023-01-14,93.37117709235201
2023-01-15,93.43302236455322
2023-01-16,94.61741982992136
2023-01-17,94.7866704157481
2023-01-18,94.9299974179521
2023-01-19,94.95668894934957
2023-01-20,95.02079419176243
2023-01-21,93.88743164533793
2023-01-22,93.98696959264787
2023-01-23,95.21607263052968
2023-01-24,95.43639881578368
2023-01-25,95.6363523330448
2023-01-26,95.7242393366356
2023-01-27,95.85298144508677
2023-01-28,94.78644475412136
2023-01-29,94.95364417126032
