Date,ARIMA_Forecast
2022-12-31,165.95428767609963
2023-01-01,165.95429270048743
2023-01-02,165.9604452747627
2023-01-03,165.96044792375517
2023-01-04,165.96109864798908
2023-01-05,165.96109904240356
2023-01-06,165.96121839845065
2023-01-07,165.96121849893092
2023-01-08,165.9612336529531
2023-01-09,165.9612336684113
2023-01-10,165.96123611055197
2023-01-11,165.96123611359837
2023-01-12,165.96123644960875
2023-01-13,165.96123645009072
2023-01-14,165.96123650135848
2023-01-15,165.96123650144324
2023-01-16,165.9612365087493
2023-01-17,165.9612365087628
2023-01-18,165.9612365098517
2023-01-19,165.96123650985393
2023-01-20,165.9612365100115
2023-01-21,165.96123651001187
2023-01-22,165.96123651003512
2023-01-23,165.96123651003518
2023-01-24,165.96123651003856
2023-01-25,165.96123651003856
2023-01-26,165.96123651003907
2023-01-27,165.96123651003907
2023-01-28,165.96123651003916
2023-01-29,165.96123651003916
