Date,ARIMA_Forecast
2022-12-31,135.98915562330652
2023-01-01,135.8965187423087
2023-01-02,136.0376453619738
2023-01-03,136.1393721661636
2023-01-04,136.15529350035482
2023-01-05,136.15842732225656
2023-01-06,136.13590522883555
2023-01-07,136.1233809858225
2023-01-08,136.11800102400576
2023-01-09,136.11861933260704
2023-01-10,136.12156496580135
2023-01-11,136.1236492273589
2023-01-12,136.12455340909798
2023-01-13,136.12445168929315
2023-01-14,136.12403136466756
2023-01-15,136.12369034432496
2023-01-16,136.12354702576695
2023-01-17,136.1235566336341
2023-01-18,136.12361993156762
2023-01-19,136.12367387723376
2023-01-20,136.12369702338768
2023-01-21,136.12369649587765
2023-01-22,136.12368690402576
2023-01-23,136.1236784597055
2023-01-24,136.12367469007077
2023-01-25,136.1236746359914
2023-01-26,136.12367608131845
2023-01-27,136.12367740093882
2023-01-28,136.12367801404784
2023-01-29,136.12367804309497
