Date,Prophet_Forecast
2022-12-31,169.54175480939907
2023-01-01,168.66440050718086
2023-01-02,170.0723882698835
2023-01-03,169.230347439435
2023-01-04,167.91287308680634
2023-01-05,166.67781619156918
2023-01-06,165.3347932020079
2023-01-07,161.65789265614754
2023-01-08,160.29345658366165
2023-01-09,161.28956914350198
2023-01-10,160.1219399469237
2023-01-11,158.57443512681112
2023-01-12,157.21210246407009
2023-01-13,155.84946639066243
2023-01-14,152.26307661246273
2023-01-15,151.0991926621876
2023-01-16,152.40323982399357
2023-01-17,151.64572517596918
2023-01-18,150.60286637579253
2023-01-19,149.82977733960143
2023-01-20,149.12898279950994
2023-01-21,146.2632400753873
2023-01-22,145.86354353118713
2023-01-23,147.95893906665592
2023-01-24,148.0028282639089
2023-01-25,147.7540048958044
2023-01-26,147.75025750090379
2023-01-27,147.7772993186335
2023-01-28,145.58199326790967
2023-01-29,145.7807371121247
