Date,Prophet_Forecast
2022-12-31,196.66234524549995
2023-01-01,197.61378901293293
2023-01-02,181.16350061223716
2023-01-03,181.76966965116128
2023-01-04,182.75982526017765
2023-01-05,183.49332160275208
2023-01-06,184.37539428103022
2023-01-07,202.20878446011227
2023-01-08,202.7978626207057
2023-01-09,185.99850659994806
2023-01-10,186.28254565075628
2023-01-11,186.9900470149559
2023-01-12,187.49145967837322
2023-01-13,188.2013696634831
2023-01-14,205.92987145786162
2023-01-15,206.4864939456173
2023-01-16,189.72994047438442
2023-01-17,190.13245814806052
2023-01-18,191.03211450856222
2023-01-19,191.7949962069573
2023-01-20,192.82908223491003
2023-01-21,210.9357928619247
2023-01-22,211.91414763135234
2023-01-23,195.6107856120887
2023-01-24,196.48465532259073
2023-01-25,197.85964378955768
2023-01-26,199.08714985670207
2023-01-27,200.5603443022148
2023-01-28,219.06610764634152
2023-01-29,220.38956876097234
