Date,SARIMA_Forecast
2022-12-31,178.7913333481383
2023-01-01,178.7913333481276
2023-01-02,178.83843240355571
2023-01-03,178.83843240364763
2023-01-04,178.54154412484826
2023-01-05,178.5415441248833
2023-01-06,178.8062171284915
2023-01-07,178.80621712852403
2023-01-08,179.03641089421845
2023-01-09,179.03641089419892
2023-01-10,179.07093154733064
2023-01-11,179.07093154687036
2023-01-12,179.0326622719219
2023-01-13,179.032662271912
2023-01-14,179.09932698090034
2023-01-15,179.09932698098567
2023-01-16,178.88466777120652
2023-01-17,178.88466777123912
2023-01-18,178.87799016597512
2023-01-19,178.87799016600525
2023-01-20,179.40643017741985
2023-01-21,179.40643017740172
2023-01-22,179.34670352162303
2023-01-23,179.34670352119576
2023-01-24,179.3263299139496
2023-01-25,179.32632991393962
2023-01-26,179.39159182115142
2023-01-27,179.39159182123723
2023-01-28,179.17103702081246
2023-01-29,179.17103702084518
