Date,ARIMA_Forecast
2022-12-31,85.10701175217116
2023-01-01,85.07765556974124
2023-01-02,85.02251682565478
2023-01-03,85.0558486695688
2023-01-04,85.0439388733283
2023-01-05,85.05087758077862
2023-01-06,85.0518052644704
2023-01-07,85.04869130738534
2023-01-08,85.0501925640868
2023-01-09,85.04932843138529
2023-01-10,85.04962529071835
2023-01-11,85.04976776771241
2023-01-12,85.04961927356175
2023-01-13,85.04970847866907
2023-01-14,85.0496566649618
2023-01-15,85.04966434573502
2023-01-16,85.04967336978966
2023-01-17,85.04966551183908
2023-01-18,85.04967119921109
2023-01-19,85.04966868688251
2023-01-20,85.04966877576695
2023-01-21,85.0496692695481
2023-01-22,85.04966878331032
2023-01-23,85.04966911218388
2023-01-24,85.0496690030657
2023-01-25,85.04966899997098
2023-01-26,85.04966903018075
2023-01-27,85.04966899966094
2023-01-28,85.04966901688128
2023-01-29,85.04966901207008
