Date,SARIMA_Forecast
2022-12-31,138.79849393598096
2023-01-01,138.79849393597078
2023-01-02,138.08436731405058
2023-01-03,138.08436731400244
2023-01-04,137.66017575991148
2023-01-05,137.66017575991276
2023-01-06,137.9035282664096
2023-01-07,137.90352826641674
2023-01-08,138.45834281515525
2023-01-09,138.45834281511392
2023-01-10,138.56879821021815
2023-01-11,138.5687982100054
2023-01-12,138.85540104944448
2023-01-13,138.8554010494354
2023-01-14,138.38018744752483
2023-01-15,138.38018744748177
2023-01-16,137.88404926805583
2023-01-17,137.88404926805703
2023-01-18,138.21647274033447
2023-01-19,138.21647274034083
2023-01-20,138.84636182517613
2023-01-21,138.8463618251392
2023-01-22,138.7587502954644
2023-01-23,138.75875029527433
2023-01-24,139.06471734390652
2023-01-25,139.0647173438973
2023-01-26,138.5640686967352
2023-01-27,138.56406869669163
2023-01-28,138.07559006495808
2023-01-29,138.07559006495924
