Date,ARIMA_Forecast
2022-12-31,288.7185941727453
2023-01-01,288.3666524161644
2023-01-02,288.40077680347275
2023-01-03,288.5750925521521
2023-01-04,288.54901827828525
2023-01-05,288.5465900664679
2023-01-06,288.51649414519386
2023-01-07,288.5274997124591
2023-01-08,288.53464713103665
2023-01-09,288.5339369837465
2023-01-10,288.53298764535356
2023-01-11,288.5311521907848
2023-01-12,288.5322121407966
2023-01-13,288.5324444786643
2023-01-14,288.5324829800499
2023-01-15,288.5323381924484
2023-01-16,288.5322604778461
2023-01-17,288.53233178622463
2023-01-18,288.53234033726665
2023-01-19,288.53234516942825
2023-01-20,288.5323309498281
2023-01-21,288.5323295562084
2023-01-22,288.53233337196207
2023-01-23,288.5323340934694
2023-01-24,288.53233420836966
2023-01-25,288.53233314910517
2023-01-26,288.5323332636479
2023-01-27,288.5323334415624
2023-01-28,288.5323335194476
2023-01-29,288.5323334946964
