Date,Prophet_Forecast
2022-12-31,156.91381604268418
2023-01-01,157.04477754755987
2023-01-02,153.67902390617746
2023-01-03,153.60065431897462
2023-01-04,153.66029574793401
2023-01-05,153.61223197237217
2023-01-06,153.8414449133659
2023-01-07,157.35567106884056
2023-01-08,157.33402698453887
2023-01-09,153.82096642011626
2023-01-10,153.60266886755255
2023-01-11,153.5317244037631
2023-01-12,153.3642139225106
2023-01-13,153.48670491508125
2023-01-14,156.9082669008864
2023-01-15,156.8090615779999
2023-01-16,153.23427134997323
2023-01-17,152.9704667063113
2023-01-18,152.87027805850443
2023-01-19,152.68947147705103
2023-01-20,152.8139486695676
2023-01-21,156.25177523544983
2023-01-22,156.18179196792917
2023-01-23,152.6475723352353
2023-01-24,152.43382588373507
2023-01-25,152.39111224127888
2023-01-26,152.27296408053388
2023-01-27,152.46293816542294
2023-01-28,155.96669720330104
2023-01-29,155.96067590192777
