Date,Prophet_Forecast
2022-12-31,234.66689333159385
2023-01-01,233.60771554483037
2023-01-02,232.42714600331374
2023-01-03,231.03337228164685
2023-01-04,230.43634627488265
2023-01-05,228.81632988508534
2023-01-06,227.66157313162913
2023-01-07,226.11168645712635
2023-01-08,224.80896859708693
2023-01-09,223.48985092577496
2023-01-10,222.06923919252526
2023-01-11,221.56154541201275
2023-01-12,220.14907885351164
2023-01-13,219.31962473439032
2023-01-14,218.20977551056782
2023-01-15,217.4562778029034
2023-01-16,216.78755603986954
2023-01-17,216.108192382658
2023-01-18,216.4201528584133
2023-01-19,215.89142438513446
2023-01-20,215.993885711561
2023-01-21,215.84697040098413
2023-01-22,216.06937712189887
2023-01-23,216.3709797342758
2023-01-24,216.63770754846604
2023-01-25,217.85317613036747
2023-01-26,218.16772366446187
2023-01-27,219.03666635361685
2023-01-28,219.56432181080686
2023-01-29,220.35604713602973
