Date,Prophet_Forecast
2022-12-31,57.85432778951588
2023-01-01,57.86450190048072
2023-01-02,61.5774392430216
2023-01-03,61.59149483814319
2023-01-04,61.45679176528557
2023-01-05,61.470473507113674
2023-01-06,61.48523768179447
2023-01-07,58.06011998799256
2023-01-08,58.09223120778555
2023-01-09,61.81048156158982
2023-01-10,61.813909492159254
2023-01-11,61.653700422321776
2023-01-12,61.62840379200079
2023-01-13,61.592423323348456
2023-01-14,58.10675058002383
2023-01-15,58.0706460647665
2023-01-16,61.7153036670597
2023-01-17,61.642117132986876
2023-01-18,61.40463573046457
2023-01-19,61.303719035831804
2023-01-20,61.195967359125525
2023-01-21,57.64439935247648
2023-01-22,57.550082396432785
2023-01-23,61.145752767161554
2023-01-24,61.034045260269906
2023-01-25,60.76942023928761
2023-01-26,60.653298604320895
2023-01-27,60.54248153360015
2023-01-28,56.999826639903674
2023-01-29,56.92588600023733
