Date,ARIMA_Forecast
2022-12-31,63.74976473214892
2023-01-01,63.72228270956071
2023-01-02,63.63610932643695
2023-01-03,63.76114975522884
2023-01-04,63.65773758414565
2023-01-05,63.70986033099981
2023-01-06,63.695209091344516
2023-01-07,63.68505242790285
2023-01-08,63.703815647450284
2023-01-09,63.68795149788149
2023-01-10,63.69769936322584
2023-01-11,63.69442709360177
2023-01-12,63.693491118412744
2023-01-13,63.6960498072276
2023-01-14,63.6934921321111
2023-01-15,63.6951546054934
2023-01-16,63.69447823258831
2023-01-17,63.694463264977685
2023-01-18,63.69481569375052
2023-01-19,63.694424145442916
2023-01-20,63.69470365802543
2023-01-21,63.694570745113076
2023-01-22,63.69458723777282
2023-01-23,63.69463163698282
2023-01-24,63.69457273686389
2023-01-25,63.6946189638173
2023-01-26,63.69459451720615
2023-01-27,63.69460036255883
2023-01-28,63.69460544898553
2023-01-29,63.694596797052824
