Date,Prophet_Forecast
2022-12-31,2555.305303727023
2023-01-01,2557.90272929185
2023-01-02,2532.480068514283
2023-01-03,2536.1343005763433
2023-01-04,2537.5766665822543
2023-01-05,2536.5920385579907
2023-01-06,2537.0914713761736
2023-01-07,2565.5907661651813
2023-01-08,2565.4817937530056
2023-01-09,2537.325723208842
2023-01-10,2538.2748227507473
2023-01-11,2537.0944484087586
2023-01-12,2533.6209130151424
2023-01-13,2531.812621904091
2023-01-14,2558.2273464714644
2023-01-15,2556.292422816845
2023-01-16,2526.597054091606
2023-01-17,2526.3134112380894
2023-01-18,2524.2181679454447
2023-01-19,2520.1501752134845
2023-01-20,2518.0616667331515
2023-01-21,2544.495862913388
2023-01-22,2542.8577494265633
2023-01-23,2513.707189871827
2023-01-24,2514.181041143381
2023-01-25,2513.0158749707584
2023-01-26,2510.006973419415
2023-01-27,2509.060947882824
2023-01-28,2536.6748049504104
2023-01-29,2536.208189193823
