Date,Prophet_Forecast
2022-12-31,116.45305526177202
2023-01-01,116.60444333443789
2023-01-02,119.87371615335009
2023-01-03,120.49592223557667
2023-01-04,120.68630372622403
2023-01-05,120.55678223762263
2023-01-06,120.58251048119845
2023-01-07,117.08101965440792
2023-01-08,117.0917487515333
2023-01-09,120.22430527689082
2023-01-10,120.71673989188746
2023-01-11,120.78717451693213
2023-01-12,120.55023188966665
2023-01-13,120.48353589556022
2023-01-14,116.90681347298498
2023-01-15,116.86138491201608
2023-01-16,119.95839248139706
2023-01-17,120.43705017866975
2023-01-18,120.51625420216449
2023-01-19,120.3110020528052
2023-01-20,120.29888933275765
2023-01-21,116.79921466191335
2023-01-22,116.85247904150765
2023-01-23,120.06862902770106
2023-01-24,120.68532588348349
2023-01-25,120.91957965366632
2023-01-26,120.88419541467287
2023-01-27,121.05430013191922
2023-01-28,117.74647995357013
2023-01-29,117.99831373698717
